
[1.9199999570846558,0.9990000128746033]

t: 0.0167    stepPoint:[32.064,16.42111]
t: 0.15009999999999998    stepPoint:[288.192,127.56998999999999]
t: 0.1667    stepPoint:[320.064,138.91111]
t: 0.18339999999999998    stepPoint:[352.12799999999993,149.76443999999998]
t: 0.19999999999999998    stepPoint:[384,160]
t: 0.21669999999999998    stepPoint:[416.06399999999996,169.74110999999996]
t: 0.23329999999999998    stepPoint:[447.936,178.87111]
t: 0.24999999999999997    stepPoint:[479.9999999999999,187.49999999999997]
t: 0.2667    stepPoint:[512.0640000000001,195.57111000000003]
t: 0.2834    stepPoint:[544.1279999999999,203.08444]
t: 0.3    stepPoint:[576,210]
t: 0.3167    stepPoint:[608.064,216.40111]
t: 0.3334    stepPoint:[640.128,222.24444000000003]
t: 0.35    stepPoint:[671.9999999999999,227.49999999999997]
t: 0.36669999999999997    stepPoint:[704.0639999999999,232.23110999999997]
t: 0.38339999999999996    stepPoint:[736.1279999999999,236.40444]
t: 0.40009999999999996    stepPoint:[768.192,240.01999]
t: 0.41669999999999996    stepPoint:[800.0639999999999,243.06110999999999]
t: 0.43339999999999995    stepPoint:[832.1279999999999,245.56443999999996]
t: 0.44999999999999996    stepPoint:[863.9999999999999,247.5]
t: 0.46669999999999995    stepPoint:[896.0639999999999,248.89111000000003]
t: 0.48329999999999995    stepPoint:[927.9359999999999,249.72111]
t: 0.49999999999999994    stepPoint:[959.9999999999998,249.99999999999997]
t: 0.5166999999999999    stepPoint:[992.0639999999999,249.72111]
t: 0.5334    stepPoint:[1024.1280000000002,248.88444]
t: 0.5499999999999999    stepPoint:[1055.9999999999998,247.5]
t: 0.5667    stepPoint:[1088.0639999999999,245.55111]
t: 0.5832999999999999    stepPoint:[1119.9359999999997,243.06111]
t: 0.6    stepPoint:[1152,240]
t: 0.6167    stepPoint:[1184.064,236.38111]
t: 0.6333    stepPoint:[1215.936,232.23111000000003]
t: 0.65    stepPoint:[1248,227.49999999999997]
t: 0.6666    stepPoint:[1279.872,222.24444000000003]
t: 0.6834    stepPoint:[1312.128,216.36444]
t: 0.7    stepPoint:[1344,210.00000000000003]
t: 0.7165999999999999    stepPoint:[1375.8719999999998,203.08444000000003]
t: 0.7333    stepPoint:[1407.9359999999997,195.57111000000003]
t: 0.75    stepPoint:[1440,187.5]
t: 0.7667    stepPoint:[1472.0639999999999,178.87110999999996]
t: 0.7833    stepPoint:[1503.936,169.74111]
t: 0.8    stepPoint:[1536,159.99999999999997]
t: 0.8167000000000001    stepPoint:[1568.064,149.70110999999994]
t: 0.8334000000000001    stepPoint:[1600.1280000000002,138.8444399999999]
t: 0.8499000000000001    stepPoint:[1631.8080000000002,127.56998999999993]
t: 0.8667000000000001    stepPoint:[1664.064,115.5311099999999]
t: 0.8833000000000001    stepPoint:[1695.9360000000001,103.08110999999994]
t: 0.9000000000000001    stepPoint:[1728.0000000000002,89.9999999999999]
t: 0.9167000000000002    stepPoint:[1760.0640000000003,76.36110999999984]
t: 0.9333000000000001    stepPoint:[1791.9360000000001,62.25110999999989]
t: 0.9500000000000002    stepPoint:[1824.0000000000002,47.499999999999844]
t: 0.9666000000000001    stepPoint:[1855.8720000000003,32.28443999999988]
t: 0.9833000000000002    stepPoint:[1887.9360000000004,16.421109999999832]
start: [0,0]    controlPoint: [960,500]     targetPoint[1920,0]
t: 0.0167    stepPoint:[32.064,16.42111]
t: 0.0334    stepPoint:[64.128,32.28444]
t: 0.05    stepPoint:[96,47.5]
t: 0.06670000000000001    stepPoint:[128.06400000000002,62.25111000000001]
t: 0.0834    stepPoint:[160.12800000000001,76.44444]
t: 0.1    stepPoint:[192,90.00000000000001]
t: 0.11660000000000001    stepPoint:[223.87199999999999,103.00444]
t: 0.1333    stepPoint:[255.936,115.53111000000001]
t: 0.1499    stepPoint:[287.808,127.42998999999999]
t: 0.1666    stepPoint:[319.872,138.84444000000002]
t: 0.1834    stepPoint:[352.128,149.76444]
t: 0.19990000000000002    stepPoint:[383.8080000000001,159.93999000000002]
t: 0.21670000000000003    stepPoint:[416.0640000000001,169.74111000000002]
t: 0.23330000000000004    stepPoint:[447.936,178.87111]
t: 0.25000000000000006    stepPoint:[480.00000000000017,187.50000000000006]
t: 0.26670000000000005    stepPoint:[512.0640000000001,195.57111000000003]
t: 0.28330000000000005    stepPoint:[543.936,203.04111]
t: 0.30000000000000004    stepPoint:[576.0000000000001,210.00000000000003]
t: 0.31670000000000004    stepPoint:[608.0640000000001,216.40111000000005]
t: 0.33330000000000004    stepPoint:[639.9360000000001,222.21111000000002]
t: 0.35000000000000003    stepPoint:[672,227.49999999999997]
t: 0.36660000000000004    stepPoint:[703.8720000000001,232.20444]
t: 0.38330000000000003    stepPoint:[735.9360000000001,236.38111000000004]
t: 0.39990000000000003    stepPoint:[767.808,239.97999000000002]
t: 0.4167    stepPoint:[800.064,243.06110999999996]
t: 0.4333    stepPoint:[831.936,245.55111]
t: 0.45    stepPoint:[864,247.50000000000003]
t: 0.4666    stepPoint:[895.8720000000001,248.88444]
t: 0.4833    stepPoint:[927.9359999999999,249.72110999999998]
t: 0.5    stepPoint:[960,250]
t: 0.5167    stepPoint:[992.0640000000001,249.72111]
t: 0.5334000000000001    stepPoint:[1024.1280000000002,248.88443999999998]
t: 0.5499    stepPoint:[1055.808,247.50999]
t: 0.5667000000000001    stepPoint:[1088.0640000000003,245.55111]
t: 0.5833    stepPoint:[1119.9360000000001,243.06110999999999]
t: 0.5999    stepPoint:[1151.808,240.01998999999998]
t: 0.6167    stepPoint:[1184.064,236.38111]
t: 0.6333    stepPoint:[1215.936,232.23111000000003]
t: 0.6498999999999999    stepPoint:[1247.808,227.52999000000003]
t: 0.6666    stepPoint:[1279.872,222.24444000000003]
t: 0.6833    stepPoint:[1311.936,216.40111]
t: 0.7000000000000001    stepPoint:[1344,209.99999999999997]
t: 0.7166    stepPoint:[1375.8719999999998,203.08444]
t: 0.7333000000000001    stepPoint:[1407.9360000000001,195.57110999999998]
t: 0.7499    stepPoint:[1439.8080000000002,187.54999]
t: 0.7666000000000001    stepPoint:[1471.872,178.92443999999998]
t: 0.7833000000000001    stepPoint:[1503.9360000000001,169.74110999999994]
t: 0.8000000000000002    stepPoint:[1536.0000000000002,159.99999999999991]
